Ex15-07 x-bar,Ex15-07 r,Ex15-08 x-bar,Ex15-08 r,Ex15-08,Ex15-09 x1,Ex15-09 x2,Ex15-09 x3,Ex15-10 Sample,Ex15-10 x1, Ex15-10 x2,Ex15-10 x3,Ex15-10 x4,Ex15-10 x5,Ex15-11 x1, Ex15-11 x2,Ex15-11 x3,Ex15-11 x4,Ex15-11 x5,Ex15-14 x1, Ex15-14 x2,Ex15-14 x3,Ex15-14 x4,Ex15-17 ,Ex15-18 ,Ex15-19,Ex15-20,Ex15-21,Ex15-22,Ex15-23,Ex15-41,Ex15-42,Ex15-43,Ex15-44,Ex15-45,Ex15-46,Ex15-47,Ex15-48,Ex15-61,Ex15-62,Ex15-63,Ex15-64,Ex15-71,Ex15-72,Ex15-73 Diameter,Ex15-73 Diameter,Ex15-73 Diameter,Ex15-75,Ex15-76,Ex15-77,Ex15-78 Year,Ex15-78 Energy Comsumption,Ex15-79 x-bar,Ex15-79 s,Ex15-87,Ex15-91 x-bar,Ex15-91 r,Ex15-98 Month Year,Ex15-98 Retail Price,Ex15-98 Refining,Ex15-98 Distribution & Marketing,Ex15-98 Taxes,Ex15-98 Crude Oil,Ex15-99 M,Ex15-99 T,Ex15-99 W,Ex15-99 Th,Ex15-99 F,Ex15-100,Ex15-102,Ex15-111,Example15-1x1,Example15-1x2,Example15-1x3,Example15-1x4,Example15-1x5,Example15-2Concentration,Example15-4NumDefectives,Example15-5NumDefects
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,7-Jun,3.056,22.7,13.7,13,50.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,7-Jul,2.965,18.4,11.4,13.4,56.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,7-Aug,2.786,13.5,11.8,14.3,60.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,7-Sep,2.803,12.8,8.6,14.2,64.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,7-Oct,2.803,10.1,8.1,14.2,67.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,7-Nov,3.08,10,8.7,13,68.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,7-Dec,3.018,8.1,10.5,13.2,68.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,8-Jan,3.043,7.8,11.1,13.1,67.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,8-Feb,3.028,9.9,7.2,13.2,69.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,8-Mar,3.244,8,7.9,12.3,71.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,8-Apr,3.458,10,5.8,11.5,72.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,8-May,3.766,10,4.7,10.6,74.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,8-Jun,4.054,8.5,6.8,9.8,74.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,8-Jul,4.062,3.2,11.2,9.8,75.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,8-Aug,3.779,6.1,10.2,10.6,73.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,8-Sep,3.703,14.2,8.2,10.8,66.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,8-Oct,3.051,3.3,25,13.1,58.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,8-Nov,2.147,-3.7,24.7,18.6,60.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,8-Dec,1.687,0.7,19.5,23.6,56.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,9-Jan,1.788,13.4,10.7,22.3,53.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,9-Feb,1.923,16.8,14.9,20.7,47.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Mar,1.959,12,12.3,20.4,55.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Apr,2.049,12,12.1,19.5,56.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-May,2.266,17.6,-3.9,19.5,66.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jun,2.631,13.7,10.3,15.1,60.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jul,2.527,10.1,14,15.8,60.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Aug,2.616,11,9.7,15.4,63.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Sep,2.554,6.7,13.5,15.7,64,,,,,,,,,,,,,,,,
