EX 6-7,EX 6-8,EX 6-9,EX 6-10,EX 6-11,EX 6-12,EX 6-15 Exercise,EX 6-15 No Exercise,EX 6-16,EX 6-17,EX 6-18,EX 6-19,EX 6-22,EX 6-23,EX 6-24,EX 6-25,EX 6-29 Country,Ex 6-29 Kilowatts,Ex 6-30,Ex 6-31,Ex 6-32,Ex 6-33,Ex 6-34,Ex 6-35,Ex 6-36,Ex 6-37,EX 6-53,EX 6-54,EX 6-55,EX 6-64,EX 6-65 High Dose,EX 6-65 Control,EX 6-65 Control,EX 6-65 Control,EX 6-66,EX 6-67,EX 6-68,EX 6-69,EX 6-71 year,EX 6-71 No of Earthquakes,EX 6-72 year,EX 6-72 Petroluem Imports,EX 6-72 Percent of Petroluem Products,EX 6-72 Petroluem Imports from Persian Gulf,EX 6-83 2000,EX 6-83 2001,EX 6-83 2002,EX 6-83 2003,EX 6-83 2004,EX 6-83 2005,EX 6-83 2006,EX 6-83 2007,EX 6-83 2008,EX 6-83 2009,EX 6-84,EX 6-85 1999,EX 6-85 2000,EX 6-85 2001,EX 6-85 2002,EX 6-85 2003,EX 6-85 2004,EX 6-85 2005,EX 6-85 2006,EX 6-85 2007,EX 6-85 2008,EX 6-85 2009,EX 6-87 Sample1,EX 6-87 Sample 2,EX 6-88,EX 6-89 Year,EX 6-89 Energy Consumption,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-92,EX 6-93,EX 6-94,EX 6-100,EX 6-101,EX 6-101,EX 6-101,EX 6-101,EX 6-101,EX 6-102,EX 6-103 Year,EX 6-103 Drowning Rate,EX 6-104 Symptoms,EX 6-104 Numbers,Example6-4Strength,Example6-7Life,Example6-5Yield,Table6-2
,,,,,,,,,,,,92.3,,,97.3,,,,5422,,244.3,663,,,,,,,,,,,,,,,63,1970,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,150,,,150
,,,,,,,,,,,,88.9,,,96.8,,,,5357,,241.2,696,,,,,,,,,,,,,,,37,1971,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,135,,,135
,,,,,,,,,,,,89.8,,,94.4,,,,5459,,254.4,763,,,,,,,,,,,,,,,24,1972,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,196,,,196
,,,,,,,,,,,,92.7,,,96.1,,,,5406,,274,649,,,,,,,,,,,,,,,11,1973,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,201,,,201
,,,,,,,,,,,,93.3,,,98,,,,5441,,260.7,698,,,,,,,,,,,,,,,15,1974,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,200,,,200
,,,,,,,,,,,,86.7,,,85.4,,,,5427,,260.6,682,,,,,,,,,,,,,,,40,1975,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,176,,,176
,,,,,,,,,,,,91,,,86.6,,,,5440,,255.1,670,,,,,,,,,,,,,,,62,1976,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,150,,,150
,,,,,,,,,,,,90.9,,,91.7,,,,5342,,233.7,748,,,,,,,,,,,,,,,98,1977,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,170,,,170
,,,,,,,,,,,,89.9,,,87.5,,,,5435,,253.7,667,,,,,,,,,,,,,,,124,1978,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,118,,,118
,,,,,,,,,,,,91.8,,,84.2,,,,5366,,250.2,659,,,,,,,,,,,,,,,96,1979,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,149,,,149
,,,,,,,,,,,,89.7,,,85.1,,,,5416,,251.4,658,,,,,,,,,,,,,,,66,1980,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92.2,,,90.5,,,,5388,,270.6,692,,,,,,,,,,,,,,,64,1981,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,95.6,,,,5445,,273.4,672,,,,,,,,,,,,,,,54,1982,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,88.3,,,,5444,,242.9,668,,,,,,,,,,,,,,,39,1983,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,84.1,,,,5412,,276.6,668,,,,,,,,,,,,,,,21,1984,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,83.7,,,,5421,,237.8,724,,,,,,,,,,,,,,,7,1985,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,82.9,,,,5482,,261,656,,,,,,,,,,,,,,,4,1986,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,87.3,,,,5452,,236,697,,,,,,,,,,,,,,,23,1987,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,86.4,,,,5387,,251.8,683,,,,,,,,,,,,,,,55,1988,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,84.5,,,,5430,,280.3,720,,,,,,,,,,,,,,,94,1989,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5435,,268.3,634,,,,,,,,,,,,,,,96,1990,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5457,,266.8,690,,,,,,,,,,,,,,,77,1991,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5429,,254.5,698,,,,,,,,,,,,,,,59,1992,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5466,,234.3,672,,,,,,,,,,,,,,,44,1993,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5384,,251.6,660,,,,,,,,,,,,,,,47,1994,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5396,,226.8,642,,,,,,,,,,,,,,,30,1995,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5406,,240.5,718,,,,,,,,,,,,,,,16,1996,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5420,,252.1,703,,,,,,,,,,,,,,,7,1997,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5462,,245.6,691,,,,,,,,,,,,,,,37,1998,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5418,,270.5,675,,,,,,,,,,,,,,,74,1999,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,2000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,694,,,,,,,,,,,,,,,,2001,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,659,,,,,,,,,,,,,,,,2002,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,,,,,2003,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,2004,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,,2005,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,2006,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,2007,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,2008,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,697,,,,,,,,,,,,,,,,2009,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
